"","PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","PC_11","PC_12","PC_13","PC_14","PC_15","PC_16","PC_17","PC_18","PC_19","PC_20","PC_21","PC_22","PC_23","PC_24","PC_25","PC_26","PC_27","PC_28","PC_29","PC_30","PC_31","PC_32","PC_33","PC_34","PC_35","PC_36","PC_37","PC_38","PC_39","PC_40","PC_41","PC_42","PC_43","PC_44","PC_45","PC_46","PC_47","PC_48","PC_49","PC_50"
"MGH100.P5.A01",-6.61627508399354,-0.265638550022325,-2.94173819211146,-3.11892899966049,-1.8876742758643,0.761321240478718,-2.07424625716322,-0.73280545771736,1.12949277813653,3.89061373493037,2.10661734195414,0.287532000205583,3.37188755058583,0.168842339820921,-0.169969204755722,0.234863918749197,1.4594285958204,-0.48906732022729,-0.93650764575644,-2.80799883150658,0.336434003594692,-0.843043759414411,1.53358065085606,-5.180702577404,-2.87003655563638,-0.165419450812197,-0.495963355205994,-2.52614363750057,-0.445889628961761,-0.0255888459237915,0.558038448373277,-1.87864558396738,-2.13518361727029,1.14494743963705,-0.299955184270963,-2.07915280426842,2.2122238345108,1.67580846565378,-1.52125744871228,-1.57763376042246,-0.502845435057884,0.324280163129872,-0.571279115347544,0.674540706094005,0.915380674292267,1.97652107785806,0.0396652712831669,-0.145376515213911,-0.0821741179770213,-2.53009158621424
"MGH100.P5.A03",10.6440096681344,-11.9910373966654,1.03608160673043,-1.57476871073934,-0.0613573464327022,-0.303276270536285,-2.97767521253875,0.333921525324241,1.63063225405185,0.433367232383146,2.26411924081323,-0.390030462900092,3.69624543051158,4.14125901756304,0.0393577495771241,-1.43648600291577,-2.29867857532344,-0.420294976877037,-0.715439635653149,-2.03425612689682,-0.636971751474778,0.541367358470122,1.72522392849266,-2.74601058451893,-0.560771428347574,-0.453150105695028,-0.688417562861934,-0.487154650712172,-0.27822368352606,-0.151371348038498,-0.688686890621591,-1.92809810703169,-0.826522887423269,0.296498720337872,3.13271149954026,-0.0811068294702229,0.152063901857262,0.996003655961797,-0.698095467588795,0.167376212600945,-1.23301844055951,-0.330410072783222,0.406987842984563,-1.55674903997778,0.26106767931774,0.366352577923059,-1.42350287276211,-1.07595719827934,-0.930134044883017,-0.122355459244869
"MGH100.P5.A04",-4.60327769108498,1.68036760473577,-1.84572492580993,6.62640156410821,-0.295672519922446,-6.11474509218934,2.70328925133706,2.73277768122106,-5.02536492895268,2.06436490216829,2.5784128375403,0.464224884731539,4.01398324897971,-5.53584365275488,-2.55725494770164,-3.69676675823312,-0.836114171681636,-0.486956385732402,0.0216105735335892,-3.81758209494539,-5.41101873517767,3.24754201306789,-0.190722436462585,-0.945164972152305,-3.43354712417563,6.13813524510548,2.61610795214197,1.1207307393751,1.38093961754614,-6.10823097836915,-3.01571459667387,3.94135460821948,-3.72753585262131,1.73891577574262,0.763693158813849,-3.4389358494494,0.295908101481876,0.630706388021443,3.76842422166929,-2.56930801010948,0.594124286004638,-3.75570753628878,2.34843987759229,0.0373440307737857,0.199186736258266,-1.93701186237454,-1.86408963370894,-3.7777794946178,3.3896466219078,0.312018132054141
"MGH100.P5.A06",6.82770685570577,-7.77798976798208,-0.607598956070971,-1.30711633835198,-1.02694922751187,0.0534031958702505,-1.57684827538957,-1.71182173615242,-0.765476028038723,-1.5591762296789,2.5020760960615,-2.6268609747223,2.3105074270062,3.92287303815911,1.79653593624884,-2.04641837537391,-1.64129962487472,-1.14043805863378,-1.52636771729363,1.55970426724961,-2.37877019479147,0.512690497173971,-0.0032966652031652,-1.0612599577407,-1.18998083866946,-0.816389298236804,1.88154536588148,-2.6908409300715,1.82714263536134,0.779592881983168,-0.0207845018077105,0.575566634339271,-2.09065760942243,0.214627754574221,1.02296900785225,-0.355217895470438,2.16242163002621,-1.07531751861261,0.935591120948145,1.46878335663726,0.0541974585793465,1.31912145163304,2.59333208018683,1.76439645337049,1.24288457361051,0.26003636112138,0.499748955146384,0.210676790047336,-1.5855809672886,-0.136937359780106
"MGH100.P5.A07",-2.84226857295726,1.90527630324094,-1.78359367228282,1.68050751863353,-1.35082155378808,-0.0573335290056374,1.61196674426218,1.4282288711644,-3.89409642718657,1.20476981295813,0.048657926042682,0.408432384428953,1.99276998335494,-1.0427289232173,-1.22398755796521,-1.78107441038239,-0.297834534952683,-1.347957704781,-0.440999924424757,-2.0673677584842,3.84588458211114,-2.46382630063677,0.929373418933153,-0.626680641610357,-0.206428895809061,-2.47777943359497,0.747230562656299,-1.94696287709641,-2.28652053246061,2.55489716775143,-3.90096550129283,1.01328583675303,-2.17791655715529,1.07136369847518,-0.136713014402067,0.665601269511029,2.41292296337868,1.38045883410656,0.837018161657288,-0.51991177510615,-0.128391461843213,0.396912179575726,-0.80591498191457,1.68076133235333,2.64028123212862,-0.344078833494219,-0.938524228180875,-0.62227697357065,-1.90907885589992,-0.0191507512019032
"MGH100.P5.A08",11.7053341865217,-22.4287298180285,0.110210866691421,1.63060421339415,-3.33337037165068,0.628357278801997,3.12077532673563,0.483566211862889,4.50681169022912,5.03712494753875,0.631154234746987,2.70962970118316,-0.179744433126626,-1.93849696020513,1.85430195433625,-0.904807067452889,5.26994681127244,1.80601554467428,0.898992188136965,-1.92484547043213,2.59712855977653,-1.44954225861285,0.760893222609128,-0.656256500098879,-2.90968140860882,-0.592038300968362,0.0310714119118128,-1.54019374331583,1.58022055505335,-1.11380440410113,-0.42148693884205,0.113549840070959,-2.25054217063025,0.91280227736198,3.01288777895133,-0.736203975227464,1.9707743778684,1.57592795493705,-0.0228108665677901,0.518313182984424,0.593310044013543,1.15809452259028,0.746515815842546,-1.26838643023569,-0.184650957943434,0.318632411762793,-0.552717373759911,0.433409545675161,-2.06391978933164,-0.513075901390821
"MGH100.P5.A09",4.12076271779088,-5.78779071398943,-0.375638427359972,-4.10994848109029,0.260255132767097,-0.0637037672285714,-2.62775481449652,-0.613754191018076,-1.66414270940826,-0.0706201877265927,1.41020201320729,-1.18328938419565,3.02850463091319,1.89424053788721,2.17635974161352,-1.85669595952923,0.0267185779658674,-0.412663250967261,-1.36854902229388,-3.14329736337452,1.44905872456962,-0.503557623878031,-0.0231978680839493,-2.92045380098725,-1.65589008662264,2.95853959336347,-0.292907643349697,-4.82254689539358,1.01698983520135,-0.650587118632256,0.337046122655572,-2.53445554597035,-2.79289651964574,2.4116563415632,1.1641188601231,1.78240040416129,3.69171289134067,0.445027911561324,-0.305808942697395,-0.818024568727959,-0.130483635530919,1.27548550733431,-1.42734678000099,-0.845583862515603,2.07956626868483,0.406588643436641,0.991999372712222,1.30859511602026,0.251288644869778,-0.982370580172472
"MGH100.P5.A10",-2.53075878326394,2.62063243859076,-2.40644599524566,5.5668722727376,-2.18887576969275,-5.62569920340697,5.23099549340113,2.36499504082953,-6.20021454028127,0.987169026735648,0.419454501477442,-0.0243302133304489,4.72944956222363,-3.50984728892861,-3.19537789973784,-3.89358510955233,-1.32268197272511,0.363962444556788,1.56076213839493,-0.370149501763715,-3.77289238188493,2.58537374436299,-1.26728701906062,-1.55095146067914,-0.464637697648937,1.46191358259264,-0.61602182801281,-0.165020409764003,1.20834449468223,-2.62541457642284,0.754475665890549,1.22038320467322,-2.71468849491643,0.309548926978786,0.581272719842988,-1.43979085688708,0.375396982504513,-0.777686342780279,1.88898926145349,-1.66820480013512,0.408487177011226,-0.837327356938985,1.82664417877705,-0.197584821212821,0.00767040060288852,-0.535350831188908,1.36802914413178,-0.308176784751064,0.647324484195225,-2.9782412183483
"MGH100.P5.A12",9.39981228938427,-11.3301410641501,0.639019813851552,1.25927341134411,-3.20852566202835,0.701976357339572,0.633336714639424,-1.7001297863129,0.343205383649575,-0.0891631102044207,1.73137437399586,-1.45385617713847,2.45919035520007,3.8391860519622,0.396928026543347,-1.26180734802611,-0.879853719242846,0.359168219143453,-1.29769722644968,-0.923942683442657,-0.810772133590154,0.291573605454418,1.41898833231539,-2.0068516331257,-0.214668398061428,-0.727987205616416,0.946729036795167,-0.419208025677613,-0.31630758848016,0.39709784656765,-3.02145022653338,0.682503114794423,-2.73145537637904,-0.777273719471652,1.95090673446408,2.89391812211563,2.39311581935795,0.604748045118024,1.7964482466371,1.68700595410865,1.38020876316,0.71882826927694,3.31422457044068,-2.66138871974005,1.40177586682096,2.06676113661616,0.900665690741978,0.232386614771552,-0.801206958338294,-1.57709403429938
"MGH100.P5.B02",2.57348323409326,-0.549732939138414,-1.47919597910556,-2.26290736315245,-1.27821436548007,0.696107870482346,-3.19455554617625,-1.96805990484936,-1.18301931663592,2.76871864966139,2.8072538464817,-2.78931973815834,4.09081440853514,1.58015129788093,2.6590749296277,-3.60986027832512,2.64745879056872,-0.206161018491995,1.04200881953904,-2.51723520918536,-0.385358274466471,-0.86663437134075,1.52369563690874,-2.18377616669413,-3.17476180094329,0.17630676279913,1.12252929345838,-2.48666816794024,1.15404754881421,-0.619873165053836,-1.53977575158506,-2.25426958051505,-2.2675901373144,-1.97039603676959,3.57676134771488,0.53088724688797,3.85503528324736,-1.68775935193103,1.69067606984793,0.106085281328448,-1.00647196013836,0.872262722531236,0.786178629393228,-0.518185425948121,0.614423605963187,1.83198715286004,-0.133525253934186,-0.244947367122069,-1.70563929724377,-0.311063397896278
