"","gene","logFC","AveExpr","t","pval","padj","B"
"1","FBXO17",0.737535212243664,0.935187601415844,5.80664163381931,2.9019775603085e-06,0.00964261842937612,4.48014423321106
"2","PDPN",1.91768840186422,2.11410484240599,4.86611493017802,3.84571152573617e-05,0.0236499947916523,2.19080045978483
"3","ZNF708",0.848873664893621,1.69220620404513,4.7615085577427,5.129572892421e-05,0.0270914475726177,1.93436431803939
"4","MPV17L",0.562469430342547,0.893560349945341,4.60635201528691,7.85967895971686e-05,0.0316034668016769,1.55424794841184
