"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GRK7",0.196576166127161,0.347768678022541,0.018,0.023,1
"BMI1",0.1965853312108,0.990851044700838,0.038,0.031,1
"TNFSF14",0.196694470688776,0.962017119734476,0.581,0.6,1
"ELMOD2",0.196700662810776,0.414162529536583,0.319,0.345,1
"TRAPPC3",0.1967871870143,0.230027453600896,0.472,0.517,1
"RTEL1",0.196811138565957,-0.152508779100154,0.418,0.412,1
"PRELP",0.196940568086667,0.310097571488791,0.605,0.668,1
"DUOXA1",0.19695412993851,0.769007647306914,0.015,0.011,1
"VDR",0.197509210588084,-1.79331700061211,0.163,0.181,1
"GBX2",0.197919201626685,-0.415287028564299,0.044,0.052,1
"SNORD99",0.198055055084647,-0.113363416341218,0.013,0.018,1
"SHC2",0.1981388266512,-0.293814375476868,0.211,0.225,1
"FGFR4",0.198274154429424,-0.114037233003915,0.028,0.022,1
"RGS1",0.198430012312618,6.39079440267356,0.019,0.014,1
