"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EGFR",0,5.94386250436842,0.808,0.347,0
"CTHRC1",0,-3.91354180946098,0.119,0.536,0
"TUSC3",0,-2.77065921922895,0.055,0.466,0
"RPS4X",0,-1.44760394188743,0.965,0.992,0
"RPS6",4.15687269078207e-285,-1.63508484667439,0.942,0.97,9.2261789371908e-281
"KHDRBS2",1.1226019166179e-269,-9.15905157922441,0.003,0.252,2.49161495393343e-265
"RPS24",1.16710862154328e-265,-1.49223990063088,0.95,0.987,2.59039758551532e-261
"IGF2",6.90050167717667e-252,-9.88373510309368,0.056,0.372,1.53156634724936e-247
"PDLIM4",6.19077602620441e-251,-2.20420597911075,0.214,0.631,1.37404273901607e-246
"PLCB4",8.83498111971084e-248,-2.64336735256902,0.091,0.453,1.96092405951982e-243
"PDPN",1.31580171240058e-227,3.1103860294351,0.668,0.25,2.92042190067308e-223
"SEC61G",3.05885590031123e-222,6.19555732938115,0.869,0.769,6.78913067074077e-218
"RPL7A",1.06870686245798e-212,-1.19803570821696,0.943,0.976,2.37199488122549e-208
"EEF1G",7.19363957948367e-210,-1.08521292342183,0.966,0.986,1.5966283046664e-205
"ITM2C",1.86459660019844e-208,-1.71624997902636,0.73,0.921,4.13847215414044e-204
"RANBP17",1.05689124116935e-204,-3.04317019002952,0.042,0.314,2.34577010977538e-200
"RTN1",3.26259261236793e-203,-5.11128987080753,0.102,0.405,7.24132430315061e-199
"RPS3",6.72219758330027e-197,-1.00666715314892,0.974,0.988,1.4919917536135e-192
"HEPN1",7.66205622379403e-196,2.04963616861173,0.741,0.324,1.70059337887108e-191
"CDR1",1.30679554985443e-195,-2.41376579393765,0.199,0.567,2.90043272290192e-191
"COL9A1",1.41935192184908e-194,-3.06024650210051,0.124,0.454,3.15025159054404e-190
"EGFR-AS1",5.29367307053087e-194,5.50220513625806,0.429,0.04,1.17493073800433e-189
"PCDH15",3.85639661084745e-193,-1.60596760410106,0.208,0.584,8.55927227777591e-189
"MYO1B",1.29538272321795e-191,-2.59083771096988,0.043,0.303,2.87510195418224e-187
"RPL13",2.90781986346443e-188,-1.00536062641581,0.986,0.994,6.45390618695929e-184
"RPL23",2.1483990310006e-186,-1.33567177202547,0.941,0.953,4.76837164930582e-182
"LRFN5",1.69143045410685e-185,-4.86173058576326,0.011,0.209,3.75412989289015e-181
"RPL10A",1.75354004716233e-183,-1.07728338180042,0.958,0.987,3.89198213467679e-179
"LRRC4C",2.59186093404498e-181,-1.66552492391712,0.323,0.716,5.75263534311283e-177
"ZNF618",2.524353863867e-178,-1.78797943176432,0.111,0.426,5.6028034008528e-174
"RPS14",1.0125535218755e-175,-0.976643595919283,0.975,0.985,2.24736254180268e-171
"RPL17",4.12664025534032e-173,-1.01194997512572,0.957,0.98,9.15907804672784e-169
"NEFL",7.47831464183106e-173,-0.943778979348973,0.072,0.355,1.6598119347544e-168
"MEOX2",1.7918485945272e-172,7.58143237975247,0.354,0.008,3.97700795555311e-168
"EPB41L3",1.60096605851681e-171,-4.77261241136223,0.013,0.202,3.55334416687805e-167
"SLC35F1",1.42787801382272e-170,-2.75709510106781,0.767,0.918,3.16917525167952e-166
"MEGF10",4.88737477431663e-170,-2.37600714732305,0.104,0.401,1.08475283115958e-165
"SLITRK2",6.25336340853723e-170,-2.37113162285248,0.392,0.711,1.38793400852484e-165
"H2AFY2",4.78842803712804e-169,-2.01740731503918,0.167,0.498,1.06279160284057e-164
"RPL26",1.30295375617819e-168,-1.04492736859773,0.942,0.971,2.89190586183749e-164
"RPL32",2.39052457291788e-165,-0.983525890795382,0.96,0.988,5.30576928959124e-161
"MSI1",2.43327448703104e-164,-2.18157776776189,0.563,0.82,5.4006527239654e-160
"EEF2",8.26370751822615e-161,-0.908418783728017,0.985,0.997,1.83412988367029e-156
"LOC389906",2.963679930184e-160,-3.16296973439666,0.04,0.263,6.57788760504338e-156
"RPL3",1.08673267897275e-159,-0.872573185478931,0.98,0.988,2.41200318098002e-155
"FAM95B1",4.16818821527151e-159,-3.61506654225078,0.14,0.421,9.25129374379511e-155
"RPS3A",1.09332158968177e-158,-0.924742387591051,0.988,0.994,2.42662726829869e-154
"MDGA2",3.89510363011082e-158,-1.62694407020424,0.102,0.392,8.64518250703098e-154
"NEFM",6.70733850618818e-158,-2.86783793918218,0.065,0.318,1.48869378144847e-153
"RPL41",8.82713053835903e-156,-0.796356392309784,0.995,0.999,1.95918162298879e-151
"LOC90499",3.33648893667735e-155,-3.25557917324957,0.101,0.367,7.40533719495538e-151
"RAMP1",1.30428743995854e-154,2.93261401303607,0.55,0.208,2.89486597298797e-150
"SOX10",7.16214186516122e-153,-2.28155127994492,0.127,0.411,1.58963738697253e-148
"RPL29",1.93683898396186e-152,-0.849359086391889,0.942,0.979,4.29881412490334e-148
"SAR1A",2.73525302121343e-152,-1.51988244855697,0.784,0.921,6.0708940805832e-148
"SOX11",7.15231472969195e-152,-2.08372160415511,0.841,0.867,1.58745625425513e-147
"RPL4",1.81155168766221e-150,-1.01695251047098,0.981,0.983,4.02073897076629e-146
"GRIN2B",2.90347940076568e-149,-1.81147989403476,0.071,0.32,6.44427252999943e-145
"ELMO1",1.51977692367587e-148,-1.56277346069474,0.365,0.701,3.3731448820986e-144
"RPL7",2.19285684134609e-148,-0.809854068085063,0.986,0.996,4.86704575936766e-144
"H19",2.06994182835214e-147,-3.4415629440856,0.056,0.281,4.59423588802759e-143
"RPL35",2.70024215000154e-147,-1.00699295352051,0.887,0.968,5.99318745192842e-143
"GFRA2",1.19982927313638e-146,-6.04423532203071,0.008,0.164,2.66302107172619e-142
"RPL6",3.84807344357683e-146,-0.91333812909877,0.976,0.989,8.54079900801878e-142
"METRN",5.44967697145255e-146,-2.04126337103317,0.391,0.688,1.20955580381389e-141
"SCN1A",8.97732030205071e-146,-1.94424270823111,0.196,0.501,1.99251624104016e-141
"SNAR-B1",2.05079943726557e-145,-7.32061728897272,0.005,0.153,4.55174935101093e-141
"SNAR-B2",2.05079943726557e-145,-7.32061728897272,0.005,0.153,4.55174935101093e-141
"CYP4F35P",7.37615203926288e-145,-1.95817273065343,0.074,0.315,1.6371369451144e-140
"SEPT6",1.11534683059728e-144,-2.43028704526398,0.126,0.405,2.47551229051066e-140
"MFAP2",1.22308801606944e-144,-3.14022358846484,0.038,0.245,2.71464385166611e-140
"INPP5F",5.19397599071061e-144,-1.52812508722507,0.265,0.588,1.15280297113822e-139
"LAMA4",6.13710958626741e-144,-2.01093447845958,0.291,0.587,1.36213147267205e-139
"COL20A1",9.25370335087203e-144,-1.23574832342186,0.237,0.565,2.05385945872605e-139
"LOC440040",2.560566510231e-143,-5.87761742269031,0.027,0.211,5.68317736945771e-139
"HENMT1",3.42019910305509e-143,-12.7195373296316,0.002,0.137,7.59113190923078e-139
"PSAP",6.61398341346015e-143,-1.07007993685546,0.932,0.982,1.46797361861748e-138
"COTL1",1.65380821048358e-142,-2.05266048262843,0.573,0.803,3.67062732316831e-138
"ROBO2",2.53552795896131e-142,2.2928379488238,0.509,0.154,5.62760430491464e-138
"NRCAM",4.51987271115491e-142,1.32939797687857,0.854,0.488,1.00318574824083e-137
"RPL35A",4.77024975537531e-142,-0.90228554145164,0.931,0.969,1.05875693320555e-137
"HOPX",1.03419647158667e-141,3.79637101633587,0.432,0.108,2.2953990686866e-137
"ANKRD20A2",5.27311662650203e-141,-3.77575919352801,0.237,0.508,1.17036823525213e-136
"DPP10",7.66460493384079e-141,-1.91344587091826,0.051,0.272,1.70115906506596e-136
"OTX2",2.09276511350036e-140,-5.65595096920397,0.007,0.155,4.64489216941404e-136
"LINC00839",7.75770652899997e-139,-2.66815363881132,0.265,0.533,1.72182296411154e-134
"CDKN2A",1.66997065704862e-136,-1.56011547062367,0.177,0.48,3.70649987331942e-132
"CFI",2.50028982892758e-136,-3.23813005327806,0.067,0.292,5.54939327530477e-132
"FBN2",2.50672362827529e-133,-2.20768463246842,0.08,0.319,5.563673092957e-129
"MT3",3.23052722961048e-133,3.08219254047964,0.647,0.41,7.17015518612046e-129
"PHLDA1",1.58867606063525e-131,-0.91467784788628,0.892,0.973,3.52606651657993e-127
"RPL34",2.40801070954355e-131,-1.00014858443927,0.9,0.961,5.34457976983191e-127
"CNTN1",5.75643643602678e-131,-1.30588456069697,0.39,0.702,1.27764106697614e-126
"TMEM246",8.16273476055278e-131,-2.12462555768292,0.064,0.288,1.81171898010469e-126
"RPL12",1.16027997444679e-130,-1.05471616249408,0.896,0.949,2.57524140328464e-126
"HEPACAM",2.12234426493695e-130,2.24242575339621,0.52,0.18,4.71054309602757e-126
"KIF26B",4.41773467560207e-130,-2.0224594861868,0.153,0.425,9.80516211249879e-126
"ZBTB16",5.64452868050343e-130,1.93398390195437,0.546,0.208,1.25280314063774e-125
"PLAT",1.85353178990326e-129,-1.76319051296958,0.394,0.661,4.11391380769029e-125
"FLNB",2.87037697587259e-129,-2.05317137386556,0.155,0.433,6.37080169794921e-125
"SUB1",2.99652399907743e-129,1.50999668528374,0.938,0.895,6.65078501595236e-125
"COL11A1",4.98423480272513e-129,-1.31493833790252,0.174,0.469,1.10625091446484e-124
"AHR",7.14260848154073e-129,-2.95185338868283,0.539,0.755,1.58530195247797e-124
"RPL31",5.12286362103355e-128,-0.978962005966187,0.938,0.956,1.1370195806884e-123
"RPL37",1.17884027248649e-127,-1.06441112773239,0.85,0.903,2.61643598478376e-123
"HGF",5.94105791782322e-127,-3.04310364683111,0.019,0.178,1.31861780486086e-122
"HLA-B",1.29654225709121e-125,3.43725878009625,0.821,0.663,2.87767553961395e-121
"RPS18",1.33521895345096e-125,-0.799166446601026,0.968,0.983,2.96351846718441e-121
"CCND1",8.10714370656705e-125,-2.29008714327655,0.391,0.676,1.79938054567256e-120
"RPL39",9.15123584905368e-125,-0.927487825559519,0.901,0.949,2.03111679669746e-120
"ANKRD20A8P",9.23167681406863e-125,-3.29650828491959,0.297,0.554,2.04897066888253e-120
"C4orf48",1.52773788074581e-124,-1.73390868727181,0.472,0.727,3.39081422631533e-120
"MYL12A",1.99600203990269e-124,-1.55358917132931,0.484,0.738,4.43012652756402e-120
"RPL36A",3.54434474095991e-124,-1.03392793956982,0.876,0.94,7.86667315256052e-120
"LOC100289137",5.28639276379996e-124,-4.08052829564244,0.033,0.211,1.1733148739254e-119
"NID2",1.20149745762741e-123,-2.81810453350242,0.086,0.311,2.66672360720403e-119
"HMGA2",3.60695116988196e-123,-3.37267376646429,0.04,0.223,8.00562812155301e-119
"RPS15A",6.18068376537455e-123,-0.869026523935997,0.948,0.976,1.37180276172488e-118
"RP1-177G6.2",8.6859769658619e-123,-0.987297011843356,0.371,0.66,1.92785258757305e-118
"C1orf61",4.04152654122733e-122,-1.00281075781362,0.906,0.965,8.97016815825405e-118
"FKBP5",8.59138331366078e-121,2.73708044519927,0.834,0.753,1.90685752646701e-116
"FBLN1",2.27064387597636e-120,-2.32912782710644,0.408,0.642,5.03969408272952e-116
"C7orf13",2.55588263084719e-120,-1.65646021456824,0.063,0.275,5.67278149916534e-116
"CSMD3",1.56304222492359e-118,-1.32937317165674,0.149,0.417,3.4691722182179e-114
"IGF2-AS",2.44230480401378e-118,-8.32608574751169,0.001,0.111,5.42069551250858e-114
"C14orf39",6.00452297758516e-118,-2.77979765608745,0.016,0.164,1.33270387487503e-113
"NEAT1",9.11187735117409e-118,2.23415401094472,0.642,0.358,2.02238117809309e-113
"IRX2",1.348205981883e-117,-4.44332817110226,0.012,0.15,2.99234317678931e-113
"NINL",1.72910948831039e-117,-1.82721901084848,0.187,0.46,3.8377585093049e-113
"TNS3",6.43390723293658e-117,-0.758240221201423,0.236,0.543,1.42800571035027e-112
"RGS3",1.52787067220878e-116,-1.75428830845777,0.137,0.389,3.3911089569674e-112
"GFRA1",1.98095766775584e-116,-2.73830948271175,0.103,0.334,4.3967355435841e-112
"RPL27",3.07390581206741e-116,-0.836955115202016,0.946,0.953,6.82253394988361e-112
"ANXA5",1.78427931239876e-115,1.99712972043495,0.836,0.759,3.96020793386906e-111
"SGPL1",1.79160524889426e-115,-1.66589236139626,0.625,0.831,3.97646784992082e-111
"AGT",2.98980218242297e-115,0.515450696352445,0.45,0.133,6.63586594388777e-111
"KLHL4",3.99137472305922e-115,2.65859837628898,0.515,0.228,8.85885619782994e-111
"ZNF560",5.02873591575242e-115,-1.05752209420953,0.042,0.227,1.11612793650125e-110
"CACNB2",1.88193260584683e-114,-1.73581229478909,0.366,0.645,4.17694941867703e-110
"HMGA1",4.28075015914764e-114,-2.03252670217887,0.515,0.729,9.50112497822819e-110
"FRMD4A",4.78580441953432e-114,-1.20372401649679,0.289,0.598,1.06220929091564e-109
"SPDYE8P",6.05026457446013e-113,1.65956736930509,0.791,0.59,1.34285622230142e-108
"IGF2BP2",9.25595011835531e-113,-1.90493999342443,0.217,0.483,2.05435812876896e-108
"ATP13A4",9.87471667779959e-113,2.72749782864998,0.519,0.231,2.19169336663762e-108
"WNK2",1.1712879328021e-112,-1.60424759426736,0.081,0.302,2.59967356685427e-108
"ZNF469",3.88486071690448e-112,-1.98639067418219,0.042,0.222,8.62244836116948e-108
"PARP8",9.93582976415043e-110,-1.53312965598344,0.168,0.431,2.20525741615319e-105
"GNB2L1",1.48644968794428e-109,-0.691656673958514,0.984,0.991,3.29917508239233e-105
"FAM107B",1.5008421885312e-109,-1.35541443584092,0.095,0.324,3.331119237445e-105
"ZNF826P",1.32779400790487e-108,-2.2708140086239,0.032,0.195,2.94703880054487e-104
"RPL24",4.12107283298669e-108,-0.769219530851963,0.918,0.958,9.14672115281397e-104
"RPL39L",6.69436907195793e-108,-1.4305829178965,0.074,0.284,1.48581521552106e-103
"RPS7",8.62535023734406e-108,-0.780048675247047,0.935,0.963,1.91439648517851e-103
"RPS17",1.16577125938656e-107,-0.918513787902921,0.915,0.951,2.58742931020848e-103
"RPS17L",1.16577125938656e-107,-0.918513787902921,0.915,0.951,2.58742931020848e-103
"LPPR1",3.09019195986756e-107,-0.772491242645136,0.272,0.575,6.85868105492606e-103
"ANKRD20A4",5.8912042827703e-107,-2.44734969710368,0.203,0.45,1.30755279056087e-102
"TSPYL5",7.53671954478852e-107,-3.5364447970563,0.012,0.139,1.67277490296581e-102
"PDZD2",8.57703873510612e-107,3.48869968897314,0.467,0.196,1.9036737472568e-102
"UBC",2.94600527313103e-106,0.917314201103856,0.989,0.967,6.53865870371432e-102
"RPL11",3.87504149600498e-106,-0.717355162465914,0.961,0.97,8.60065460038305e-102
"RPL19",7.09803996940424e-106,-0.606955836465865,0.982,0.988,1.57540997120927e-101
"EFNA5",8.8534782856232e-106,-2.2568662235833,0.085,0.293,1.96502950549407e-101
"IGFBP4",9.15900078703525e-106,-2.25899753952233,0.064,0.259,2.03284022468247e-101
"GRID1",1.57047050466219e-105,-2.30256901754325,0.107,0.327,3.48565928509773e-101
"GATA2",1.7980604621818e-105,-5.79544539858898,0.032,0.186,3.99079519581251e-101
"MAGED2",2.2253289328023e-105,-1.10429730256203,0.773,0.896,4.9391175663547e-101
"CALM3",6.87975648666794e-105,-1.07303970452949,0.8,0.921,1.52696195221595e-100
"MN1",2.66290455963265e-104,-1.11310531833405,0.094,0.317,5.91031667010467e-100
"BST2",3.92695387520815e-104,4.57480645825917,0.292,0.044,8.7158741260245e-100
"FAM5C",7.12700368448029e-104,-1.45531127682213,0.258,0.533,1.5818384677704e-99
"SLC1A3",8.9887961126635e-104,1.63512616319531,0.79,0.632,1.99506329720566e-99
"PRAME",1.05068890000036e-103,-3.7653017999286,0.04,0.203,2.33200401355079e-99
"ANKRD20A1",1.58084885625524e-103,-2.81743966872225,0.326,0.547,3.50869403645851e-99
"THY1",2.45252785481931e-103,-1.18963198583113,0.45,0.735,5.44338557377146e-99
"LOC650226",5.49546121332688e-103,-6.11112473847384,0.014,0.14,1.2197176162979e-98
"RPL15",1.76192695759973e-102,-0.586843663368873,0.999,0.999,3.91059688239261e-98
"CPNE8",2.27302253632793e-102,-1.82140588234024,0.074,0.276,5.04497351937984e-98
"MT2A",7.33895787532991e-102,2.70717673683542,0.694,0.54,1.62888170042947e-97
"ITM2A",1.29866618111782e-101,-1.56432371055074,0.102,0.322,2.88238958899101e-97
"RPLP1",1.76843263237682e-100,-0.553855115718052,0.978,0.986,3.92503622756035e-96
"CHP1",2.99839887547781e-100,-1.17501415384274,0.983,0.992,6.65494630412299e-96
"FHL2",5.94397429239228e-100,-3.39751096149656,0.069,0.252,1.31926509419647e-95
"DBC1",8.97966898940051e-100,-2.62659958075642,0.038,0.198,1.99303753219744e-95
"COL1A1",6.59848769294815e-99,-10.3882928870162,0.012,0.13,1.46453434344984e-94
"SHC3",6.77340769014063e-99,-1.77990250916252,0.288,0.545,1.50335783682671e-94
"RPL5",8.10000823466581e-99,-0.777432951368906,0.988,0.989,1.79779682768408e-94
"NACA",9.52124300164522e-99,-0.571938795078509,0.973,0.988,2.11323988421516e-94
"RPL37A",1.65957746001157e-98,-0.823467038104448,0.963,0.959,3.68343217249567e-94
"CD99",2.98280612821032e-98,1.41873184781203,0.71,0.428,6.6203382015628e-94
"CLU",3.71748268066772e-98,0.551102788027737,0.803,0.591,8.250952809742e-94
"PMAIP1",3.79185052182579e-98,-2.0304613055359,0.029,0.179,8.41601223319234e-94
"ADAMTS3",1.0707551874959e-97,-3.27218732186342,0.055,0.227,2.37654113864715e-93
"LSAMP",1.48054936666275e-97,-0.810411562746395,0.699,0.903,3.28607931930798e-93
"ITPR2",1.57975508203125e-97,1.97112724756098,0.453,0.181,3.50626640456836e-93
"CUEDC2",1.67674829286189e-97,-1.19233098627852,0.632,0.827,3.72154283600697e-93
"BASP1",2.8794853067048e-97,-0.318187374358359,0.193,0.471,6.3910176382313e-93
"SORCS3",2.962339164031e-97,-1.30280887081965,0.123,0.351,6.5749117745668e-93
"THRAP3",3.00740287062888e-97,-0.963439104209018,0.891,0.959,6.6749306713608e-93
"LINC00643",1.04422537012634e-96,-1.59873146968243,0.513,0.715,2.31765820899542e-92
"GPR133",1.05238526072301e-96,-2.70854438585825,0.007,0.115,2.33576908617472e-92
"BAMBI",1.61508355978974e-96,-1.55669718313305,0.104,0.315,3.58467796095333e-92
"LRRC61",5.30033971377765e-96,-1.67003969226957,0.095,0.301,1.17641039947295e-91
"CPAMD8",6.1049260916094e-96,-7.3324544062479,0.008,0.118,1.35498834603271e-91
"RPS25",3.0987776979038e-95,-0.648559832311378,0.978,0.972,6.87773710049749e-91
"CHRNA4",1.38054894173932e-94,-2.58022785310623,0.037,0.191,3.06412837619043e-90
"ZNF37BP",1.47898419997566e-94,-1.17263031796037,0.752,0.875,3.28260543184599e-90
"HIST3H2A",1.66795303202018e-94,-1.98070341809736,0.148,0.372,3.70202175456879e-90
"AQP4",3.16385054510666e-94,1.70685833390763,0.408,0.131,7.02216628486424e-90
"DAB1",5.2214407282707e-94,-1.57281341915879,0.074,0.264,1.15889876963968e-89
"MORF4L1",7.05559301712688e-94,-0.767259232973782,0.926,0.977,1.56598887015131e-89
"BEX4",9.35341127303597e-94,-0.826057950881481,0.521,0.811,2.07598963205033e-89
"GPR37L1",1.08721133667708e-93,0.449642829256285,0.801,0.724,2.41306556175477e-89
"MALAT1",1.19532981610686e-93,0.941217924534792,0.996,0.998,2.65303452684917e-89
"RPL10",1.22611787011404e-93,-0.541866582032638,0.99,0.997,2.72136861271812e-89
"CD9",1.93509853458327e-93,1.6828431376139,0.721,0.537,4.29495119750758e-89
"ERBB3",2.03412270913835e-93,-1.85936011468723,0.273,0.515,4.51473535293256e-89
"ATP5C1",2.68362194145838e-93,-0.925432810643299,0.728,0.888,5.95629889906687e-89
"NETO1",2.75285733791393e-93,-0.716952983461947,0.126,0.356,6.10996686149997e-89
"MIPOL1",7.47677443012502e-93,-5.1950799100852,0.005,0.105,1.65947008476625e-88
"DOCK5",8.75858755530489e-93,-4.60025554037768,0.01,0.12,1.94396850789992e-88
"SVIP",1.36895631267652e-92,-1.13563871070217,0.092,0.295,3.03839853598553e-88
"IRF2BPL",3.39922691461552e-92,-1.08749943984541,0.295,0.557,7.54458413698915e-88
"PER1",1.80249627450152e-91,1.68553746065913,0.667,0.442,4.00064048125612e-87
"SEPT9",2.8277551579669e-91,-1.2159369141733,0.608,0.788,6.27620257310754e-87
"SELM",5.85657752416136e-91,-1.88424901859937,0.074,0.26,1.29986738148761e-86
"SRI",4.48867270550717e-90,1.26638449784388,0.948,0.936,9.96260906987316e-86
"SPECC1",5.45029498250468e-90,1.21084878780756,0.93,0.852,1.20969297136691e-85
"KIF5B",4.41264800434712e-89,-0.840769812943966,0.791,0.934,9.79387224564843e-85
"ST8SIA2",4.98103542420822e-89,-1.77524298556907,0.047,0.207,1.10554081240301e-84
"DAB2",5.04805961644849e-89,-2.82535689760644,0.033,0.176,1.12041683187074e-84
"NR0B1",6.25024430077281e-89,-1.6924684833694,0.023,0.154,1.38724172255653e-84
"TSC22D4",1.03229080774849e-88,1.65110640059923,0.732,0.568,2.29116944779776e-84
"GPC6",1.92388384979577e-88,-1.37564616155841,0.189,0.423,4.2700602046217e-84
"SNHG5",1.9325399061812e-88,-1.23423020829259,0.538,0.729,4.28927232176917e-84
"IGFBP2",2.26568998425262e-88,-1.63529708038407,0.471,0.726,5.0286989200487e-84
"DPP6",1.58136616154974e-87,1.26219785251836,0.819,0.572,3.50984219555965e-83
"ACTR1A",2.38267031873082e-87,-1.18548126178774,0.623,0.821,5.28833677242305e-83
"NDUFB8",3.35124806543212e-87,-0.949682403006262,0.692,0.86,7.43809508122659e-83
"STAT6",5.15348407898147e-87,-1.97194392285833,0.063,0.231,1.14381579132994e-82
"KLRC4-KLRK1",5.3331425039043e-87,-4.84994991303047,0.014,0.126,1.18369097874156e-82
"HBB",1.14032962551276e-86,-4.99186523754107,0.007,0.107,2.53096160382557e-82
"RASSF2",1.73519673417821e-86,1.73748922328856,0.787,0.649,3.85126915150854e-82
"CDC42",1.27751538457732e-85,-0.91370945128448,0.929,0.969,2.83544539606937e-81
"KCNIP2",1.5386030736557e-85,-1.70060649223578,0.091,0.28,3.41492952197883e-81
"ITGB1",2.93417964748908e-85,-1.25677134282041,0.562,0.789,6.512411727602e-81
"MET",3.01746015408386e-85,-5.47010872284476,0.168,0.362,6.69725281198913e-81
"OPCML",4.02518455018057e-85,-1.12880614982983,0.198,0.429,8.93389710912577e-81
"PPAPDC1A",4.25389152497125e-85,-3.11341388332334,0.058,0.221,9.4415122396737e-81
"SYT8",5.26609747118291e-85,-9.49551817340277,0.003,0.089,1.16881033372905e-80
"LGI4",6.2147729744182e-85,-3.62013285599953,0.063,0.228,1.37936886167212e-80
"ALDH18A1",6.35859548924027e-85,-1.24117815799777,0.346,0.602,1.41129026883688e-80
"RPS29",1.21473006728359e-84,-0.979019496413301,0.793,0.86,2.69609338433592e-80
"BAZ2B",1.61105603192545e-84,1.57464828767323,0.838,0.668,3.57573886285853e-80
"DMRT2",2.08530075072882e-84,-2.17768410090729,0.018,0.137,4.62832501624262e-80
"GABRA5",2.70051616812657e-84,-5.85910581545799,0.002,0.086,5.99379563515692e-80
"SMC3",4.19289992798264e-84,-0.973767763491852,0.561,0.815,9.30614139015748e-80
"KLRC4",6.48261917525966e-84,-2.05851162108034,0.084,0.26,1.43881732594888e-79
"GRID2",9.0187918690308e-84,0.152170461835165,0.182,0.432,2.00172085533139e-79
"EEF1A1",1.42793156228528e-83,-0.723295507512605,0.997,0.997,3.16929410249218e-79
"PCDHB7",1.82381506786587e-83,1.81929105260935,0.462,0.207,4.04795754312829e-79
"MCAM",5.89559694779822e-83,-1.5485681151161,0.566,0.743,1.30852774256382e-78
"TMSB10",1.9086309184293e-82,-0.619727445537622,0.959,0.978,4.23620632345382e-78
"RPS2",2.13990660751243e-82,-0.992852780158676,0.972,0.966,4.74952271537383e-78
"SMOC1",4.05853568244592e-82,-0.531931583490913,0.214,0.471,9.00791994718873e-78
"GATM",4.9065413132745e-82,2.24434564452569,0.612,0.422,1.08900684448128e-77
"PTEN",5.34966989074697e-82,-1.55532412096152,0.478,0.709,1.18735923225129e-77
"PCDHB9",6.17694514624482e-82,2.05623673352359,0.817,0.735,1.37097297520904e-77
"B4GALT6",6.43489432874431e-82,-1.53079953041283,0.081,0.259,1.4282247962648e-77
"ZNF518B",1.21229703328692e-81,-0.62410014517856,0.152,0.375,2.69069326538031e-77
"PLXDC2",3.00776766897207e-81,-3.25600166864053,0.041,0.181,6.6757403412835e-77
"SPARC",4.00405430042273e-81,0.947638414952586,0.76,0.547,8.88699851978826e-77
"GDI2",6.68685292111615e-81,-0.900792630618644,0.662,0.855,1.48414700584173e-76
"PLIN2",1.4308357916556e-80,-0.676758983078086,0.153,0.364,3.17574003957961e-76
"ARL3",1.9190415133244e-80,-1.11347841486696,0.448,0.685,4.25931263882351e-76
"RPL13A",2.17148484891877e-80,-0.960257557704015,0.78,0.878,4.81961062217521e-76
"SET",2.4327770212252e-80,-1.06585849825432,0.967,0.994,5.39954859860934e-76
"GPC3",2.68159547049617e-80,-4.59997477580694,0.011,0.11,5.95180114676624e-76
"PILRB",2.89132356455372e-80,1.01789305237256,0.82,0.638,6.41729265152698e-76
"TM4SF1",8.33323334230134e-80,-1.48596907164736,0.277,0.514,1.84956114032378e-75
"RIMS2",1.07391291501295e-79,-2.14082070412462,0.055,0.21,2.38354971487123e-75
"HOXD11",1.40732777840464e-79,3.38958865450247,0.246,0.041,3.12356400416909e-75
"FGF12",3.15881946360279e-79,-0.992646587096941,0.208,0.436,7.01099979946639e-75
"TMSB15A",7.23140349338845e-79,-1.14164729144851,0.292,0.528,1.60501000535757e-74
"ZBTB20",8.38418061068736e-79,1.09770297999546,0.88,0.715,1.86086888654206e-74
"ANP32A",1.40450416288469e-78,-1.03915128216662,0.66,0.826,3.11729698952256e-74
"PPA1",1.60896181981444e-78,-0.854223909776334,0.548,0.773,3.57109075907816e-74
"RPL38",1.64601039686459e-78,-0.655607870655254,0.913,0.944,3.65332007584095e-74
"XPNPEP1",6.1989894196049e-78,-1.13974827232772,0.374,0.628,1.37586570168131e-73
"METTL7B",6.30433418975309e-78,2.31033848706649,0.359,0.127,1.3992469734157e-73
"SGCD",8.32480971773613e-78,-1.72710986633604,0.042,0.182,1.84769151685153e-73
"FLRT1",1.40638844860428e-77,-3.37375460722049,0.19,0.4,3.12147916167721e-73
"TNNI2",1.5729331398726e-77,-7.63231231227025,0.002,0.079,3.49112510394724e-73
"NELL2",1.83904586759951e-77,2.17108284647303,0.44,0.201,4.0817623031371e-73
"RPL8",1.8767883815473e-77,-0.565245384206303,0.977,0.984,4.16553181284424e-73
"PIEZO2",2.08484649838236e-77,-6.2164265766611,0.004,0.087,4.62731680315964e-73
"DGKG",2.39856799086066e-77,2.37823394872243,0.419,0.18,5.32362165571523e-73
"MMP16",4.04013932982218e-77,-0.922602721217199,0.522,0.733,8.96708924254032e-73
"SLC7A3",4.65079428898274e-77,-4.5279026110675,0.037,0.169,1.03224379243972e-72
"AFF2",7.75735374885594e-77,-2.02564716789194,0.021,0.135,1.72174466455858e-72
"DLGAP1-AS5",2.19707923095897e-76,-1.62583066586592,0.061,0.219,4.87641735311344e-72
"C2orf40",4.11268089399254e-76,-3.67324127612103,0.026,0.145,9.12809524421644e-72
"ST6GAL1",4.38856431668244e-76,-1.03732035442255,0.232,0.473,9.74041850087668e-72
"OSBPL3",6.75456971291079e-76,2.1095277026786,0.383,0.147,1.49917674778055e-71
"ACTG1",7.66805757280379e-76,-0.506229591292762,0.994,0.997,1.7019253782838e-71
"INS-IGF2",1.33964091710088e-75,-12.3448969282055,0.003,0.081,2.97333301550539e-71
"MMP15",1.44106615582273e-75,-2.02331039198391,0.073,0.236,3.19844633284855e-71
