"gene","logFC","AveExpr","t","pval","padj","B","sig"
"FAM204A",-0.705314432700876,1.08505563214266,-6.2162886168583,9.54692825674879e-07,0.00964261842937612,5.45604085729277,"Up (pediatric)"
"ITM2C",-2.07490783453526,3.58807198246255,-6.06102652815293,1.45283842559869e-06,0.00964261842937612,5.08825537661872,"Up (pediatric)"
"SGPL1",-1.18900708937988,1.58405578951644,-6.04650312974622,1.51118445295529e-06,0.00964261842937612,5.05371568732886,"Up (pediatric)"
"TSPYL5",-0.239097851474837,0.0847257137841824,-5.921365798779,2.12294821529442e-06,0.00964261842937612,4.75519515410003,"NS"
"RGS3",-1.14869202256315,0.776157620178449,-5.82397333548659,2.7679688611075e-06,0.00964261842937612,4.5217769699702,"Up (pediatric)"
"FBXO17",0.737535212243664,0.935187601415844,5.80664163381931,2.9019775603085e-06,0.00964261842937612,4.48014423321106,"Up (adult)"
"ARL3",-0.870483301650442,1.30376632024852,-5.76294688735294,3.26960486696694e-06,0.00964261842937612,4.3750628600768,"Up (pediatric)"
"XPNPEP1",-0.978483531873599,1.40839448160008,-5.71314855231898,3.74621897804249e-06,0.00964261842937612,4.25509681960129,"Up (pediatric)"
"SEPT6",-1.11162275702513,0.643389732043847,-5.67567594968901,4.1505364132376e-06,0.00964261842937612,4.16468430991242,"Up (pediatric)"
"MPST",-0.683307262465585,1.24957825346336,-5.62193879813462,4.80831040991088e-06,0.00968753136053498,4.03482867943654,"Up (pediatric)"
"KLHDC8B",-0.782087552077221,0.708078262575737,-5.60069050297106,5.0965060483947e-06,0.00968753136053498,3.98341933193335,"Up (pediatric)"
"ZNF618",-0.461078117853033,0.273441939272229,-5.55356126935558,5.79933921481421e-06,0.010025263114402,3.86927006537246,"NS"
"TUSC3",-1.10115272022703,0.431099340743887,-5.52726260505226,6.23312547167374e-06,0.010025263114402,3.8055027382415,"Up (pediatric)"
"ZNF37BP",-0.723342406713269,1.0342835853927,-5.46653407058456,7.36370635565349e-06,0.0109976954421685,3.65806832585172,"Up (pediatric)"
"CACNB2",-0.904239747986742,0.630879427664268,-5.37309268606919,9.51927466372372e-06,0.0117877042047961,3.43075118955904,"Up (pediatric)"
"METRN",-0.972535837230354,1.116146618609,-5.37291261459976,9.52398872833958e-06,0.0117877042047961,3.43031262077504,"Up (pediatric)"
"LINC00839",-1.05610882604164,0.559396447059368,-5.37062965407168,9.58395769675902e-06,0.0117877042047961,3.42475225037833,"Up (pediatric)"
"MORF4L1",-1.05331389146937,4.81216169852012,-5.32552383218911,1.08275118126315e-05,0.0125773580272396,3.31654730560086,"Up (pediatric)"
"MSL3P1",-0.308634496921314,0.118894343742201,-5.28007507576084,1.22949924727965e-05,0.012838089719165,3.20397041693813,"NS"
"EXOSC1",-0.739298084113107,0.768032444620795,-5.26579228640026,1.27879342243263e-05,0.012838089719165,3.16910944089675,"Up (pediatric)"
"EPB41L3",-0.410068810585016,0.132156100880291,-5.26225853075064,1.29129241263599e-05,0.012838089719165,3.16048287413127,"NS"
"PSAP",-1.27872048159888,5.42209150221937,-5.24589262807357,1.35079618260859e-05,0.012838089719165,3.12052308533686,"Up (pediatric)"
"PDLIM4",-2.0602597973105,1.33295618224027,-5.1992622942922,1.53585197405008e-05,0.013962229967571,3.00660355005279,"Up (pediatric)"
"DNAJB12",-0.6318301107919,0.842380226141964,-5.1523227149112,1.74781695391095e-05,0.0143694125369855,2.89183993738071,"Up (pediatric)"
"GALT",-0.432759167368469,0.64865400699329,-5.14420831013712,1.7873245713751e-05,0.0143694125369855,2.87199261130885,"NS"
"TM9SF3",-0.680155027767111,0.838795353052609,-5.13672173098129,1.82456842748344e-05,0.0143694125369855,2.85367887918235,"Up (pediatric)"
"PPP3CB",-0.296986023214613,0.316961893218942,-5.13061231389738,1.85553655602185e-05,0.0143694125369855,2.83873256132189,"NS"
"SEPT5-GP1BB",-0.202997022412186,0.17138778471648,-5.04389163750732,2.35634852167628e-05,0.0175960325856176,2.62645320646878,"NS"
"WAPAL",-0.347037120534035,0.553384762006307,-4.93859620047857,3.14956486055282e-05,0.0227083626445858,2.36847079776922,"NS"
"UPF2",-0.291787948796208,0.430233735877498,-4.91365303344912,3.37363698427004e-05,0.0229492396160556,2.30733349412111,"NS"
"CHCHD1",-0.689524730600148,0.868850038543394,-4.90281686158296,3.47587818547522e-05,0.0229492396160556,2.28077147378172,"Up (pediatric)"
"MICU1",-0.787158889356472,1.25457105312168,-4.89699354399534,3.53209459370794e-05,0.0229492396160556,2.26649675730992,"Up (pediatric)"
"CCDC71L",-0.19873967766965,0.114849302677765,-4.88786969079112,3.62200443507501e-05,0.0229492396160556,2.24413095251023,"NS"
"PDPN",1.91768840186422,2.11410484240599,4.86611493017802,3.84571152573617e-05,0.0236499947916523,2.19080045978483,"Up (adult)"
"C3orf65",-0.250145576063466,0.137332383155357,-4.84220394872487,4.10753113808173e-05,0.0240122286023467,2.13218232289227,"NS"
"HENMT1",-0.398163208821221,0.114760283701423,-4.83025557954908,4.2449535475132e-05,0.0240122286023467,2.10289050932057,"NS"
"C7orf13",-0.561644369116973,0.342997343901064,-4.82989776154397,4.2491389271932e-05,0.0240122286023467,2.10201330807836,"Up (pediatric)"
"PLCB4",-0.717967316686057,0.347889486068277,-4.79795674800292,4.6398248801709e-05,0.0255300258998667,2.0237102030327,"Up (pediatric)"
"ZNF708",0.848873664893621,1.69220620404513,4.7615085577427,5.129572892421e-05,0.0270914475726177,1.93436431803939,"Up (adult)"
"CDC42",-0.934684669672799,3.85515845099611,-4.75083420256698,5.27782863272729e-05,0.0270914475726177,1.90891868755179,"Up (pediatric)"
"ITGB1",-1.35506001541098,2.11373314372457,-4.74327424974907,5.39359008209847e-05,0.0270914475726177,1.88967077458885,"Up (pediatric)"
"METTL10",-0.39567697816406,0.650023098077903,-4.74003616796128,5.44187095532997e-05,0.0270914475726177,1.88173440860408,"NS"
"WSB2",-0.713315416264935,1.73756918457532,-4.71238090910311,5.87215884118622e-05,0.0271827136423187,1.81395860621076,"Up (pediatric)"
"FLNB",-0.469874761685482,0.356313867357276,-4.70706777373537,5.9586263459854e-05,0.0271827136423187,1.80093882159722,"NS"
"PPP1R14B",-0.416928742527658,0.560959499590829,-4.69737420109377,6.11966221231305e-05,0.0271827136423187,1.77718605152881,"NS"
"RPS4X",-1.3316342075564,7.11879652625683,-4.69197882973101,6.21116331860886e-05,0.0271827136423187,1.7639661601019,"Up (pediatric)"
"MMP15",-0.204514397084338,0.132004528220116,-4.68934767584918,6.25627839955963e-05,0.0271827136423187,1.75751942908657,"NS"
"INPP5F",-0.916988178722402,0.868978499894393,-4.68351105593335,6.35752393285926e-05,0.0271827136423187,1.74321928937302,"Up (pediatric)"
"MYL12A",-1.86816786938218,2.24522139279697,-4.68278468779145,6.37023754590663e-05,0.0271827136423187,1.74143968185759,"Up (pediatric)"
"MRPL43",-1.13258536453549,1.93442822444758,-4.67090915803577,6.58172077873048e-05,0.0275234399524951,1.71234607402549,"Up (pediatric)"
"GPR137B",-0.440650322078863,0.510631752989387,-4.61757519275193,7.62100558535051e-05,0.0312446285851165,1.58172505910149,"NS"
"MPV17L",0.562469430342547,0.893560349945341,4.60635201528691,7.85967895971686e-05,0.0316034668016769,1.55424794841184,"Up (adult)"
