"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","pct_diff","pct_ratio","is_artifact"
"ANK2",1.11777471734847e-43,0.930709403463229,0.661,0.482,2.48090098515494e-39,"ANK2",0.179,1.36382113821138,FALSE
"NFIX",3.4372873474926e-35,0.513870559137478,0.785,0.606,7.62905926775984e-31,"NFIX",0.179,1.29058441558442,FALSE
"LMO3",5.04959082383204e-48,2.36582507921176,0.383,0.204,1.12075668334952e-43,"LMO3",0.179,1.83644859813084,FALSE
"ARL4C",3.47315737523916e-41,1.03436515766148,0.481,0.302,7.70867279434331e-37,"ARL4C",0.179,1.57371794871795,FALSE
"MEIS1",1.10201684764661e-45,0.96491016977423,0.641,0.464,2.44592639335165e-41,"MEIS1",0.177,1.37341772151899,FALSE
"SCG5",1.2779152155414e-44,1.26654002680829,0.458,0.281,2.83633282089413e-40,"SCG5",0.177,1.60824742268041,FALSE
"MLC1",3.18987952676097e-62,1.67559187981985,0.578,0.402,7.07993760964598e-58,"MLC1",0.176,1.42718446601942,FALSE
"AK4",4.44624391160044e-42,1.12973019495679,0.53,0.355,9.86843836179719e-38,"AK4",0.175,1.47945205479452,FALSE
"LGALS3",3.467000196337e-35,1.01084950920534,0.492,0.318,7.69500693576997e-31,"LGALS3",0.174,1.53048780487805,FALSE
"GADD45B",2.10628490639097e-42,1.92454323090033,0.417,0.245,4.67489934973475e-38,"GADD45B",0.172,1.67450980392157,FALSE
"S100A13",6.78446594127878e-47,1.90559420060023,0.327,0.156,1.50581221566683e-42,"S100A13",0.171,2.03012048192771,FALSE
"BCAP29",1.23486123698505e-58,1.41062899528807,0.646,0.476,2.74077451548831e-54,"BCAP29",0.17,1.34979423868313,FALSE
"BAZ2B",1.61105603192545e-84,1.57464828767323,0.838,0.668,3.57573886285853e-80,"BAZ2B",0.17,1.25073746312684,FALSE
"DOCK7",1.61690196587023e-34,0.877021546379508,0.553,0.384,3.58871391324897e-30,"DOCK7",0.169,1.42893401015228,FALSE
"TPD52",8.02321167421839e-45,2.09416472337225,0.35,0.181,1.78075183109277e-40,"TPD52",0.169,1.8848167539267,FALSE
"FBXO17",2.17408357155432e-69,2.63079556290138,0.585,0.418,4.82537848706481e-65,"FBXO17",0.167,1.39018691588785,FALSE
"TMEM178A",9.7776324489425e-44,1.38173131769788,0.349,0.182,2.17014552204279e-39,"TMEM178A",0.167,1.86979166666667,FALSE
"TXNIP",2.44830853534814e-52,1.14668847241705,0.665,0.499,5.43402079420519e-48,"TXNIP",0.166,1.32612966601179,FALSE
"ZBTB20",8.38418061068736e-79,1.09770297999546,0.88,0.715,1.86086888654206e-74,"ZBTB20",0.165,1.22758620689655,FALSE
"TSC22D4",1.03229080774849e-88,1.65110640059923,0.732,0.568,2.29116944779776e-84,"TSC22D4",0.164,1.28373702422145,FALSE
"IGSF11",1.05237376403947e-42,1.29527013600765,0.537,0.373,2.3357435692856e-38,"IGSF11",0.164,1.42819843342037,FALSE
"HTRA1",3.21647464120651e-37,1.11151460755271,0.37,0.206,7.13896546615786e-33,"HTRA1",0.164,1.75925925925926,FALSE
"HLA-F",3.91679101675984e-38,1.5826151748518,0.369,0.206,8.69331766169847e-34,"HLA-F",0.163,1.75462962962963,FALSE
"C8orf4",1.03170021213109e-37,1.4673053406947,0.356,0.193,2.28985862082494e-33,"C8orf4",0.163,1.80295566502463,FALSE
"FLJ43663",1.90774262144794e-37,1.7406765532482,0.417,0.254,4.23423474830371e-33,"FLJ43663",0.163,1.61742424242424,FALSE
"SLC20A2",9.79070506422266e-40,1.89990350404214,0.396,0.234,2.17304698900422e-35,"SLC20A2",0.162,1.66393442622951,FALSE
"KCTD12",5.71598519828494e-34,0.451166775567819,0.388,0.226,1.26866291475934e-29,"KCTD12",0.162,1.6864406779661,FALSE
"PCDHB16",2.45668046641693e-41,1.52731594183986,0.577,0.415,5.45260229521237e-37,"PCDHB16",0.162,1.38117647058824,FALSE
"ZFP36",1.71986265742695e-33,1.3830400016733,0.562,0.401,3.81723516815912e-29,"ZFP36",0.161,1.39172749391728,FALSE
"AGMO",4.39556520377224e-57,5.61580531204114,0.405,0.245,9.75595696977249e-53,"AGMO",0.16,1.62745098039216,FALSE
"ELOVL2",9.11161715778002e-32,0.299067398740493,0.398,0.238,2.02232342816928e-27,"ELOVL2",0.16,1.64516129032258,FALSE
"S100A10",2.18541669753199e-34,1.24336879730242,0.478,0.318,4.85053236017224e-30,"S100A10",0.16,1.48780487804878,FALSE
