"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","pct_diff","pct_ratio","is_artifact"
"ZNF606",6.87759083347534e-23,1.07380062911712,0.55,0.423,1.52648128548985e-18,"ZNF606",0.127,1.2933025404157,FALSE
"MT1X",2.4415037145614e-36,4.03939113771112,0.419,0.292,5.41891749446902e-32,"MT1X",0.127,1.4205298013245,FALSE
"NLGN4Y",3.4285833593411e-34,2.2519401132353,0.324,0.197,7.60974076605758e-30,"NLGN4Y",0.127,1.61352657004831,FALSE
"CPEB4",6.97075383971204e-30,0.89520004058178,0.74,0.613,1.54715881472409e-25,"CPEB4",0.127,1.20385232744783,FALSE
"LAMA5",3.22514025453048e-28,0.664660673571555,0.62,0.493,7.15819879493041e-24,"LAMA5",0.127,1.25248508946322,FALSE
"LAP3",1.09371811662085e-45,1.60247949201617,0.649,0.524,2.42750735983998e-41,"LAP3",0.125,1.23408239700375,FALSE
"TTTY15",9.21156978480789e-29,1.43800810495475,0.458,0.334,2.04450791373811e-24,"TTTY15",0.124,1.36046511627907,FALSE
"RBCK1",8.31404293339742e-36,1.13502638130088,0.641,0.518,1.84530182906756e-31,"RBCK1",0.123,1.23295454545455,FALSE
"HEY1",1.00128781560462e-28,1.32782187083833,0.473,0.35,2.22235830673445e-24,"HEY1",0.123,1.34166666666667,FALSE
"DENND2A",7.27647424159379e-24,1.12286364332338,0.384,0.261,1.61501345792174e-19,"DENND2A",0.123,1.45387453874539,FALSE
"ZNF83",5.42724826180491e-30,1.48740870345819,0.488,0.366,1.2045777517076e-25,"ZNF83",0.122,1.32446808510638,FALSE
"EPS15",2.69607781972031e-15,0.393321320180836,0.537,0.416,5.98394472086922e-11,"EPS15",0.121,1.28403755868545,FALSE
"CLDN12",1.17645632930959e-28,1.25364603877065,0.616,0.495,2.61114482290263e-24,"CLDN12",0.121,1.23960396039604,FALSE
"QTRT1",2.66466961808225e-28,0.598805345181019,0.657,0.536,5.91423421733356e-24,"QTRT1",0.121,1.22161172161172,FALSE
"MAPT",3.45683720837174e-17,0.34922046241991,0.675,0.554,7.67245018398108e-13,"MAPT",0.121,1.2145390070922,FALSE
"CYP27A1",1.31220719822134e-24,1.21655560053106,0.271,0.151,2.91244387645226e-20,"CYP27A1",0.12,1.74534161490683,FALSE
"C1orf63",3.5368399777688e-25,1.13405058139515,0.474,0.354,7.85001633065786e-21,"C1orf63",0.12,1.32967032967033,FALSE
"COL4A2",2.47616574566039e-21,0.503813711012456,0.356,0.236,5.49584987249325e-17,"COL4A2",0.12,1.48780487804878,FALSE
"STYXL1",6.19111151940911e-21,0.823619366262059,0.426,0.306,1.37411720173285e-16,"STYXL1",0.12,1.37974683544304,FALSE
"MUM1",1.40252661838922e-20,0.426633924714931,0.705,0.585,3.11290782951487e-16,"MUM1",0.12,1.20168067226891,FALSE
"ARHGEF1",5.15437094634452e-20,0.729305399755511,0.523,0.403,1.14401263154117e-15,"ARHGEF1",0.12,1.29055690072639,FALSE
"OSBPL1A",1.45512750801142e-23,1.85985007241796,0.34,0.221,3.22965550403135e-19,"OSBPL1A",0.119,1.51515151515152,FALSE
"ACYP2",2.89920823304555e-26,1.49996626573951,0.456,0.337,6.43479267324459e-22,"ACYP2",0.119,1.34293948126801,FALSE
"NCOR2",2.35478973119466e-33,0.743608135497018,0.812,0.694,5.22645580838654e-29,"NCOR2",0.118,1.16761363636364,FALSE
"FASTK",4.22433350043132e-21,0.360109895751046,0.552,0.434,9.37590820420733e-17,"FASTK",0.118,1.26576576576577,FALSE
"ZNF460",2.17098200902349e-59,0.949834430081421,0.869,0.751,4.81849456902764e-55,"ZNF460",0.118,1.15505913272011,FALSE
"UNC13A",7.45446977078794e-22,0.698084217520425,0.397,0.279,1.65451956562638e-17,"UNC13A",0.118,1.4083044982699,FALSE
"U2AF1L4",8.00824218112069e-26,1.46651609691675,0.393,0.276,1.77742935209974e-21,"U2AF1L4",0.117,1.40909090909091,FALSE
"STAG3L4",2.12094121281199e-20,0.965833523971213,0.517,0.4,4.7074290218362e-16,"STAG3L4",0.117,1.28536585365854,FALSE
"C14orf159",2.26644177451655e-22,0.839099784460569,0.288,0.171,5.03036751853949e-18,"C14orf159",0.117,1.64640883977901,FALSE
"LIFR",4.90363744628622e-20,0.979658897657757,0.46,0.344,1.08836233120323e-15,"LIFR",0.116,1.32768361581921,FALSE
"CCDC144C",6.10666417563535e-21,1.02907738614298,0.449,0.333,1.35537411378227e-16,"CCDC144C",0.116,1.33819241982507,FALSE
"LNPEP",4.18747971780082e-19,1.00849892631092,0.391,0.275,9.29411123365893e-15,"LNPEP",0.116,1.40701754385965,FALSE
"RARRES2",7.26740395552368e-25,1.4864174586431,0.265,0.15,1.61300030792848e-20,"RARRES2",0.115,1.71875,FALSE
"GUCY1A2",5.45023536187244e-24,1.37737316449483,0.271,0.156,1.20967973856759e-19,"GUCY1A2",0.115,1.69277108433735,FALSE
"SLC8A1",4.16984187630259e-23,1.42599196726976,0.367,0.253,9.25496404445359e-19,"SLC8A1",0.114,1.43346007604563,FALSE
"NEU4",2.03186995966638e-18,0.540873204227546,0.304,0.19,4.50973537547954e-14,"NEU4",0.114,1.57,FALSE
"NDRG2",4.70495727194516e-34,1.38358981827743,0.685,0.572,1.04426526650823e-29,"NDRG2",0.113,1.19415807560137,FALSE
"ARHGEF6",2.93883433982376e-25,0.864877733378487,0.521,0.408,6.52274281723883e-21,"ARHGEF6",0.113,1.27033492822967,FALSE
"ARNTL",3.39606734786214e-24,1.58195130772401,0.263,0.15,7.53757147858002e-20,"ARNTL",0.113,1.70625,FALSE
"TLK1",3.78612392194815e-25,0.707317145513075,0.694,0.581,8.40330204476393e-21,"TLK1",0.113,1.1912013536379,FALSE
"KHDRBS3",3.53590300950196e-19,1.0118286443737,0.348,0.235,7.84793672958961e-15,"KHDRBS3",0.113,1.46122448979592,FALSE
"CLIC4",1.64675946934071e-54,1.42802486918868,0.762,0.65,3.6549826422017e-50,"CLIC4",0.112,1.16969696969697,FALSE
"MED12L",2.81568018218562e-22,1.40407379493964,0.411,0.299,6.24940216436099e-18,"MED12L",0.112,1.36245954692557,FALSE
"B3GALTL",5.74099167354198e-22,1.33902612226903,0.284,0.172,1.27421310194264e-17,"B3GALTL",0.112,1.61538461538462,FALSE
"CHN1",3.17552191730659e-21,1.07502579072921,0.447,0.335,7.04807089546197e-17,"CHN1",0.112,1.32463768115942,FALSE
"TMEM161B-AS1",5.17526659448703e-21,1.25091765926387,0.379,0.267,1.1486504206464e-16,"TMEM161B-AS1",0.112,1.4043321299639,FALSE
"BTBD17",6.46256040495092e-23,1.60619213651993,0.279,0.168,1.43436528187886e-18,"BTBD17",0.111,1.62359550561798,FALSE
"APLP1",1.77330649090657e-20,1.09175208315744,0.316,0.205,3.93585375656713e-16,"APLP1",0.111,1.51627906976744,FALSE
"FMNL3",6.170952991018e-31,1.03719346593902,0.653,0.542,1.36964301635645e-26,"FMNL3",0.111,1.20108695652174,FALSE
"ZNF680",8.89047242530675e-28,1.33935925512314,0.581,0.47,1.97324035479683e-23,"ZNF680",0.111,1.23125,FALSE
"TPCN1",5.34817588981184e-20,1.10626840773496,0.393,0.283,1.18702763874374e-15,"TPCN1",0.11,1.37542662116041,FALSE
"CLIP2",6.13198552766498e-24,0.70362551238527,0.745,0.635,1.36099418786524e-19,"CLIP2",0.11,1.17054263565891,FALSE
"LOC100128252",8.8487265083796e-24,0.722586394184622,0.585,0.475,1.96397484853485e-19,"LOC100128252",0.11,1.22680412371134,FALSE
"NXPH1",1.18728255078217e-21,1.44694753918541,0.391,0.281,2.63517362146103e-17,"NXPH1",0.11,1.37800687285223,FALSE
"NSUN5P2",2.47842814971976e-20,0.934298462515513,0.441,0.331,5.50087127830301e-16,"NSUN5P2",0.11,1.32258064516129,FALSE
"NEDD9",8.20209728704504e-19,1.07978109825281,0.438,0.328,1.82045549285965e-14,"NEDD9",0.11,1.32544378698225,FALSE
"ABCB8",8.94899314831329e-17,0.532983111153629,0.429,0.319,1.98622902926813e-12,"ABCB8",0.11,1.33434650455927,FALSE
"DLG2",2.33423939482572e-21,1.41842140671937,0.301,0.192,5.18084433681568e-17,"DLG2",0.109,1.53960396039604,FALSE
"PEPD",6.05962529696907e-28,1.07377406692825,0.542,0.434,1.34493383466228e-23,"PEPD",0.108,1.24324324324324,FALSE
"IQCE",2.68141220602039e-19,1.13878198021213,0.32,0.212,5.95139439126226e-15,"IQCE",0.108,1.48648648648649,FALSE
"SKAP2",6.42714313609605e-26,2.3133171234664,0.37,0.262,1.42650441905652e-21,"SKAP2",0.108,1.39705882352941,FALSE
"LINC00685",2.41526777867886e-21,1.04999695221737,0.366,0.258,5.36068683477772e-17,"LINC00685",0.108,1.40298507462687,FALSE
"TENM4",7.85932461156039e-21,1.45184155437167,0.37,0.262,1.74437709753583e-16,"TENM4",0.108,1.39705882352941,FALSE
